"_time","Latitude 1664","Longitude 1664"
1778951373800,42.0650677,-84.23809245
1778951374000,42.065045075,-84.23808869999999
1778951374200,42.065023575000005,-84.238090825
1778951374400,42.06500215999999,-84.23809989999998
1778951374600,42.06498305,-84.238115075
1778951374800,42.06497073333333,-84.23813076666666
1778951375000,42.064962875,-84.238150875
1778951375200,42.06495375,-84.23817872499998
1778951375400,42.064944100000005,-84.238208625
1778951375600,42.064933275,-84.238241175
1778951375800,42.0649215,-84.23827605
1778951376000,42.064906959999995,-84.23831874
1778951376200,42.0648937,-84.23835860000001
1778951376400,42.064883699999996,-84.238391175
1778951376600,42.064872699999995,-84.2384248
1778951376800,42.06486105,-84.23845374999999
1778951377000,42.06484725,-84.238478225
1778951377200,42.064830900000004,-84.23849764999999
1778951377400,42.064812700000004,-84.23850917499999
1778951377600,42.064795425,-84.238514275
1778951377800,42.06477927500001,-84.23851115000001
1778951378000,42.064763400000004,-84.238501025
1778951378200,42.0647517,-84.23848537500001
1778951378400,42.06474028,-84.23846282
1778951378600,42.0647307,-84.2384378
1778951378800,42.06472235,-84.2384124
1778951379000,42.06471445,-84.238380425
1778951379200,42.064708825,-84.238344675
1778951379400,42.064704524999996,-84.2383067
1778951379600,42.064701975,-84.2382722
1778951379800,42.06470005,-84.23824205
1778951380000,42.064696524999995,-84.2382155
1778951380200,42.06468984999999,-84.23819202499999
1778951380400,42.06467925,-84.238173525
1778951380600,42.0646649,-84.23816207499999
1778951380800,42.064650525,-84.2381556
1778951381000,42.064636875,-84.238157175
1778951381200,42.064622674999995,-84.238162175
1778951381400,42.064609299999994,-84.23817237499999
1778951381600,42.06459725,-84.23818845
1778951381800,42.064585725,-84.23820972499999
1778951382000,42.0645748,-84.23823517499999
1778951382200,42.06456366,-84.23826862000001
1778951382400,42.064554525,-84.23830627499999
1778951382600,42.06454853333334,-84.23833793333334
1778951382800,42.064543125,-84.238372775
1778951383000,42.0645357,-84.23841948
1778951383200,42.064529533333335,-84.23846199999998
1778951383400,42.06452524,-84.23850071999999
1778951383600,42.06452195,-84.23853977499999
